row_id,microbusiness_density
1001_2022-11-01,3.292227413294928
1001_2022-12-01,3.3192311836896353
1003_2022-11-01,7.941944546113808
1003_2022-12-01,7.9352066758283035
1005_2022-11-01,1.2353088437709427
1005_2022-12-01,1.2403100099424855
1007_2022-11-01,1.2752809473033708
1007_2022-12-01,1.286516831460674
1009_2022-11-01,1.8030574848366188
1009_2022-12-01,1.818543765252981
1011_2022-11-01,0.9897316135098355
1011_2022-12-01,1.0021031121860695
1013_2022-11-01,2.261068973575864
1013_2022-12-01,2.274567923697354
1015_2022-11-01,2.7391389673621642
1015_2022-12-01,2.7468302633495947
1017_2022-11-01,1.41105633784823
1017_2022-12-01,1.4146836431369703
1019_2022-11-01,1.1874005979332272
1019_2022-12-01,1.1973370894276627
1021_2022-11-01,1.8058161023188322
1021_2022-12-01,1.7735694512605535
1023_2022-11-01,1.6754850505878895
1023_2022-12-01,1.6558886306878307
1025_2022-11-01,1.3870541722589167
1025_2022-12-01,1.3595332046675472
1027_2022-11-01,1.504432739768962
1027_2022-12-01,1.4865227755887882
1029_2022-11-01,1.3444798451434974
1029_2022-12-01,1.3444798451434974
1031_2022-11-01,2.184736655960962
1031_2022-12-01,2.21446072157737
1033_2022-11-01,2.368873924723445
1033_2022-12-01,2.3711087840078666
1035_2022-11-01,1.1364854062399485
1035_2022-12-01,1.0507129031843037
1037_2022-11-01,0.8232334844031557
1037_2022-12-01,0.8117996733832609
1039_2022-11-01,1.6840444460282618
1039_2022-12-01,1.7149128307861161
1041_2022-11-01,1.1002921820253164
1041_2022-12-01,1.0808178878481012
1043_2022-11-01,2.593185687670136
1043_2022-12-01,2.62283899071257
1045_2022-11-01,1.7669331213714765
1045_2022-12-01,1.785338653923012
1047_2022-11-01,1.4269367809786633
1047_2022-12-01,1.4471293019115568
1049_2022-11-01,2.268486909175549
1049_2022-12-01,2.2777234209373214
1051_2022-11-01,3.0496904068322523
1051_2022-12-01,3.0496904068322523
1053_2022-11-01,1.9460710498685088
1053_2022-12-01,1.9495774387601248
1055_2022-11-01,2.722179780504208
1055_2022-12-01,2.718477805369086
1057_2022-11-01,1.04870665734483
1057_2022-12-01,1.0409384226675988
1059_2022-11-01,1.900902479470254
1059_2022-12-01,1.938502569401738
1061_2022-11-01,1.44920534206077
1061_2022-12-01,1.4685279871310564
1063_2022-11-01,1.5027768251388434
1063_2022-12-01,1.5681149846455404
1065_2022-11-01,1.172219213907985
1065_2022-12-01,1.1545919489159175
1067_2022-11-01,2.497789523371648
1067_2022-12-01,2.512525878927203
1069_2022-11-01,3.381949910671985
1069_2022-12-01,3.405197772944401
1071_2022-11-01,1.7122874513445072
1071_2022-12-01,1.7098757667912698
1073_2022-11-01,6.403426991125515
1073_2022-12-01,6.399950417553896
1075_2022-11-01,0.907757199688245
1075_2022-12-01,0.907757199688245
1077_2022-11-01,4.028613719815484
1077_2022-12-01,4.008557188126755
1079_2022-11-01,1.3502534414051919
1079_2022-12-01,1.3309087743722676
1081_2022-11-01,3.8431760694042785
1081_2022-12-01,3.8350650824365675
1083_2022-11-01,2.836798135343422
1083_2022-12-01,2.8418933955212475
1085_2022-11-01,1.3369986052855178
1085_2022-12-01,1.3369986052855178
1087_2022-11-01,1.762223830131546
1087_2022-12-01,1.8180690151402332
1089_2022-11-01,6.3485732736030895
1089_2022-12-01,6.380083222298948
1091_2022-11-01,1.3336889697719392
1091_2022-12-01,1.3603626962656707
1093_2022-11-01,1.6502930655635988
1093_2022-12-01,1.6502930655635988
1095_2022-11-01,2.7710379137311127
1095_2022-12-01,2.802746062537223
1097_2022-11-01,4.107387934514749
1097_2022-12-01,4.075506235153333
1099_2022-11-01,1.166476460599721
1099_2022-12-01,1.1791554993026498
1101_2022-11-01,4.73552922931954
1101_2022-12-01,4.713785258156714
1103_2022-11-01,2.9478264856122283
1103_2022-12-01,2.994533089023937
1105_2022-11-01,0.6418672521517141
1105_2022-12-01,0.6564551628008753
1107_2022-11-01,0.7970176405322021
1107_2022-12-01,0.8034451826185885
1109_2022-11-01,1.9949192385759114
1109_2022-12-01,1.9762403863979376
1111_2022-11-01,5.572289074293327
